,name,ratio,k_size,max_dist,fidelity,n_segs,img_num
306,quickshift,0.01,8,100,0.6307708918439221,10,38
307,quickshift,0.01,8,1000,0.6231193580758629,10,38
308,quickshift,0.2,3,100,0.21441717572892238,55,38
309,quickshift,0.2,3,1000,0.20837649496683142,55,38
310,quickshift,0.2,8,100,0.5977964536958451,10,38
311,quickshift,0.2,8,1000,0.5868612023390802,10,38
312,quickshift,0.01,3,100,0.19884003976975195,71,39
313,quickshift,0.01,3,1000,0.19101266658317662,71,39
314,quickshift,0.01,8,100,0.3927157591388625,6,39
315,quickshift,0.01,8,1000,0.39762183656317895,6,39
316,quickshift,0.2,3,100,0.1633977233840488,73,39
317,quickshift,0.2,3,1000,0.15952399997010636,73,39
318,quickshift,0.2,8,100,0.39167142142618105,7,39
319,quickshift,0.2,8,1000,0.36074184499644235,7,39
320,quickshift,0.01,3,100,0.12458907281747111,71,40
321,quickshift,0.01,3,1000,0.1375733467632052,71,40
322,quickshift,0.01,8,100,0.5401463766186302,9,40
323,quickshift,0.01,8,1000,0.49382337023684714,9,40
324,quickshift,0.2,3,100,0.13530401087588817,76,40
325,quickshift,0.2,3,1000,0.13442651262082717,76,40
326,quickshift,0.2,8,100,0.4483160023307184,10,40
327,quickshift,0.2,8,1000,0.52254210451979,10,40
328,quickshift,0.01,3,100,0.14135099730127576,70,41
329,quickshift,0.01,3,1000,0.1397499526029512,70,41
330,quickshift,0.01,8,100,0.6265619186913023,9,41
331,quickshift,0.01,8,1000,0.6299964528338302,9,41
332,quickshift,0.2,3,100,0.1409237939830673,69,41
333,quickshift,0.2,3,1000,0.15291202936109416,69,41
334,quickshift,0.2,8,100,0.5622866573630746,9,41
335,quickshift,0.2,8,1000,0.5965967367023793,9,41
336,quickshift,0.01,3,100,0.15234140803633867,81,42
337,quickshift,0.01,3,1000,0.13564821733229138,81,42
338,quickshift,0.01,8,100,0.609330577817999,8,42
339,quickshift,0.01,8,1000,0.6276984078020029,8,42
